YYDD,Photons,Type
1949068,5.81,5
1949069,5.84,5
1949070,5.8,5
1949071,5.74,5
1949072,5.71,5
1949073,5.71,5
1949074,5.7,5
1949075,5.71,5
1949076,5.72,5
1949077,5.75,5
1949078,5.77,5
1949079,5.76,5
1949080,5.69,5
1949081,5.6,5
1949082,5.52,5
1949083,5.47,5
1949084,5.45,5
1949085,5.39,5
1949086,5.33,5
1949087,5.3,5
1949088,5.31,5
1949089,5.34,5
1949090,5.33,5
1949091,5.25,5
1949092,5.29,5
1949093,5.36,5
1949094,5.48,5
1949095,5.5,5
1949096,5.51,5
1949097,5.46,5
1949098,5.4,5
1949099,5.36,5
1949100,5.37,5
1949101,5.38,5
1949102,5.38,5
1949103,5.37,5
1949104,5.34,5
1949105,5.31,5
1949106,5.31,5
1949107,5.31,5
1949108,5.31,5
1949109,5.35,5
1949110,5.36,5
1949111,5.39,5
1949112,5.35,5
1949113,5.32,5
1949114,5.27,5
1949115,5.3,5
1949116,5.33,5
1949117,5.35,5
1949118,5.32,5
1949119,5.24,5
1949120,5.18,5
1949121,5.13,5
1949122,5.17,5
1949123,5.2,5
1949124,5.24,5
1949125,5.21,5
1949126,5.18,5
1949127,5.14,5
1949128,5.13,5
1949129,5.11,5
1949130,5.04,5
1949131,4.97,5
1949132,4.9,5
1949133,4.91,5
1949134,4.92,5
1949135,4.98,5
1949136,5.0,5
1949137,5.02,5
1949138,5.04,5
1949139,5.05,5
1949140,5.04,5
1949141,5.02,5
1949142,5.0,5
1949143,5.0,5
1949144,5.01,5
1949145,5.01,5
1949146,5.01,5
1949147,4.99,5
1949148,5.01,5
1949149,5.03,5
1949150,5.06,5
1949151,5.08,5
1949152,5.07,5
1949153,5.05,5
1949154,5.01,5
1949155,4.99,5
1949156,4.97,5
1949157,4.96,5
1949158,4.95,5
1949159,4.93,5
1949160,4.91,5
1949161,4.89,5
1949162,4.9,5
1949163,4.93,5
1949164,4.93,5
1949165,4.91,5
1949166,4.89,5
1949167,4.89,5
1949168,4.89,5
1949169,4.89,5
1949170,4.89,5
1949171,4.92,5
1949172,4.96,5
1949173,4.99,5
1949174,5.02,5
1949175,5.05,5
1949176,5.1,5
1949177,5.18,5
1949178,5.28,5
1949179,5.33,5
1949180,5.36,5
1949181,5.3,5
1949182,5.23,5
1949183,5.12,5
1949184,5.04,5
1949185,4.95,5
1949186,4.89,5
1949187,4.85,5
1949188,4.84,5
1949189,4.81,5
1949190,4.78,5
1949191,4.74,5
1949192,4.74,5
1949193,4.76,5
1949194,4.8,5
1949195,4.88,5
1949196,4.95,5
1949197,4.98,5
1949198,4.98,5
1949199,4.98,5
1949200,5.04,5
1949201,5.09,5
1949202,5.09,5
1949203,5.09,5
1949204,5.11,5
1949205,5.18,5
1949206,5.25,5
1949207,5.32,5
1949208,5.39,5
1949209,5.47,5
1949210,5.51,5
1949211,5.55,5
1949212,5.55,5
1949213,5.5,5
1949214,5.41,5
1949215,5.29,5
1949216,5.23,5
1949217,5.12,5
1949218,5.03,5
1949219,4.92,5
1949220,4.83,5
1949221,4.79,5
1949222,4.77,5
1949223,4.82,5
1949224,4.88,5
1949225,4.98,5
1949226,5.07,5
1949227,5.13,5
1949228,5.21,5
1949229,5.27,5
1949230,5.36,5
1949231,5.43,5
1949232,5.48,5
1949233,5.52,5
1949234,5.5,5
1949235,5.51,5
1949236,5.51,5
1949237,5.51,5
1949238,5.47,5
1949239,5.42,5
1949240,5.38,5
1949241,5.37,5
1949242,5.36,5
1949243,5.32,5
1949244,5.31,5
1949245,5.3,5
1949246,5.33,5
1949247,5.31,5
1949248,5.29,5
1949249,5.27,5
1949250,5.27,5
1949251,5.27,5
1949252,5.27,5
1949253,5.29,5
1949254,5.31,5
1949255,5.34,5
1949256,5.39,5
1949257,5.4,5
1949258,5.46,5
1949259,5.44,5
1949260,5.44,5
1949261,5.4,5
1949262,5.37,5
1949263,5.33,5
1949264,5.32,5
1949265,5.31,5
1949266,5.29,5
1949267,5.22,5
1949268,5.17,5
1949269,5.13,5
1949270,5.07,5
